timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748795720741970,1748795720835061,'Y',Y,93.09,0
1748795721992340,1748795722048397,'y',y,56.06,1157.28
1748795722162695,1748795722232446,'f',f,69.75,114.3
1748795722353102,1748795722411773,'g',g,58.67,120.66
1748795722495765,1748795722583734,'b',b,87.97,83.99
1748795722674231,1748795722733432,'i',i,59.2,90.5
1748795722753772,1748795722821435,'b',b,67.66,20.34
1748795723000992,1748795723138727,'v',v,137.74,179.56
1748795723179752,1748795723243360,'y',y,63.61,41.02
1748795723322474,1748795723410163,'t',t,87.69,79.11
1748795723863596,1748795723933192,'r',r,69.6,453.43
1748795724030665,1748795724082731,'f',f,52.07,97.47
1748795724257302,1748795724312550,'r',r,55.25,174.57
1748795724507136,1748795724563245,'j',j,56.11,194.59
1748795724606006,1748795724673873,'q',q,67.87,42.76
1748795725052042,1748795725128385,'y',y,76.34,378.17
1748795725184107,1748795725277170,'b',b,93.06,55.72
1748795725437969,1748795725524489,"','",",",86.52,160.8
1748795725584864,1748795725664539,'e',e,79.68,60.38
1748795725677644,1748795725741178,'l',l,63.53,13.1
1748795725840800,1748795725910757,'m',m,69.96,99.62
1748795727116597,1748795727178293,'n',n,61.7,1205.84
1748795727184050,1748795727247976,'t',t,63.93,5.76
1748795727349770,1748795727437182,'r',r,87.41,101.79
1748795727536766,1748795727616558,'c',c,79.79,99.58
1748795727652181,1748795727732175,'n',n,79.99,35.62
1748795727991924,1748795728050920,'g',g,59.0,259.75
1748795728092605,1748795728160004,'h',h,67.4,41.68
1748795728176825,1748795728263172,'b',b,86.35,16.82
1748795728357555,1748795728433457,'v',v,75.9,94.38
1748795728553213,1748795728617606,'t',t,64.39,119.76
1748795728636590,1748795728685775,'h',h,49.19,18.98
1748795728774534,1748795728851173,'y',y,76.64,88.76
1748795728936844,1748795729028470,'j',j,91.63,85.67
1748795729117715,1748795729182079,'y',y,64.36,89.24
1748795729187921,1748795729258661,'f',f,70.74,5.84
1748795730475802,1748795730576152,'4',4,100.35,1217.14
1748795732420175,1748795732508381,'5',5,88.21,1844.02
1748795732570830,1748795732637284,'0',0,66.45,62.45
1748795732719250,1748795732777778,'0',0,58.53,81.97
1748795732843568,1748795732922980,'0',0,79.41,65.79
1748795734542842,1748795734641650,'c',c,98.81,1619.86
1748795734799986,1748795734863299,'b',b,63.31,158.34
1748795735003295,1748795735086669,'v',v,83.37,140.0
1748795735284977,1748795735362428,'d',d,77.45,198.31
1748795735390850,1748795735460944,'j',j,70.09,28.42
1748795735561642,1748795735630230,'k',k,68.59,100.7
1748795735713316,1748795735795078,'j',j,81.76,83.09
1748795735975996,1748795736065400,'d',d,89.4,180.92
1748795738340164,1748795738421017,"','",",",80.85,2274.76
1748795738440672,1748795738512407,'e',e,71.74,19.65
1748795738597361,1748795738678128,'r',r,80.77,84.95
1748795738770681,1748795738850994,'d',d,80.31,92.55
1748795740739538,1748795740812641,'x',x,73.1,1888.54
1748795740798357,1748795740843579,'n',n,45.22,-14.28
1748795740922510,1748795740996448,'j',j,73.94,78.93
1748795741075913,1748795741172515,"','",",",96.6,79.47
1748795741188024,1748795741268897,'s',s,80.87,15.51
1748795741396976,1748795741490697,'z',z,93.72,128.08
1748795742774653,1748795742852558,'g',g,77.91,1283.96
1748795742936848,1748795742980875,'h',h,44.03,84.29
1748795743073163,1748795743142665,'j',j,69.5,92.29
1748795743158384,1748795743246213,'c',c,87.83,15.72
1748795743261662,1748795743313423,'n',n,51.76,15.45
1748795743388364,1748795743462529,'j',j,74.16,74.94
1748795743584256,1748795743665584,'t',t,81.33,121.73
1748795743693906,1748795743740461,'u',u,46.55,28.32
1748795743835742,1748795743917001,'j',j,81.26,95.28
1748795744136019,1748795744210473,'g',g,74.45,219.02
1748795744325460,1748795744406596,'b',b,81.14,114.99
1748795744502732,1748795744609246,'c',c,106.51,96.14
1748795744670579,1748795744745748,'f',f,75.17,61.33
1748795744838127,1748795744908867,'k',k,70.74,92.38
1748795753890379,1748795753974821,'b',b,84.44,8981.51
1748795753977442,1748795754063867,'k',k,86.42,2.62
1748795754231786,1748795754333975,"','",",",102.19,167.92
1748795754368422,1748795754433317,'s',s,64.89,34.45
1748795754444003,1748795754528035,'k',k,84.03,10.69
1748795754831015,1748795754898456,'j',j,67.44,302.98
1748795755036997,1748795755122541,'l',l,85.54,138.54
1748795755191003,1748795755269282,'b',b,78.28,68.46
1748795755345758,1748795755413648,'y',y,67.89,76.48
1748795755633912,1748795755709948,'x',x,76.04,220.26
1748795755757628,1748795755838553,'t',t,80.93,47.68
1748795755856043,1748795755917255,'k',k,61.21,17.49
1748795755981644,1748795756060491,'j',j,78.85,64.39
1748795756108540,1748795756167209,'d',d,58.67,48.05
1748795756346213,1748795756417384,'t',t,71.17,179.0
1748795757201583,1748795757279000,'r',r,77.42,784.2
1748795757738063,1748795757812722,'r',r,74.66,459.06
1748795757817001,1748795757863126,'j',j,46.12,4.28
1748795757945801,1748795758012534,'n',n,66.73,82.67
1748795758084199,1748795758139733,'j',j,55.53,71.66
1748795758197584,1748795758280019,'h',h,82.43,57.85
1748795758299022,1748795758411778,'s',s,112.76,19.0
1748795758348696,1748795758452743,'q',q,104.05,-63.08
1748795759052743,1748795759124385,'j',j,71.64,600.0
1748795759111001,1748795759213962,'x',x,102.96,-13.38
1748795759226461,1748795759345365,'t',t,118.9,12.5
1748795759423881,1748795759494819,'y',y,70.94,78.52
1748795759538756,1748795759569778,'m',m,31.02,43.94
1748795760313052,1748795760377216,'k',k,64.16,743.27
1748795760490194,1748795760561069,'.',.,70.87,112.98
1748795760648868,1748795760730352,"','",",",81.48,87.8
1748795760808548,1748795760906276,'b',b,97.73,78.2
1748795760951705,1748795761011798,'k',k,60.09,45.43
1748795761228002,1748795761305337,'g',g,77.33,216.2
1748795761348874,1748795761409009,'h',h,60.13,43.54
1748795761416434,1748795761501857,'b',b,85.42,7.43
1748795761590851,1748795761662796,'r',r,71.95,88.99
1748795761781110,1748795761839187,'k',k,58.08,118.31
1748795761942260,1748795762019973,'.',.,77.71,103.07
1748795762046606,1748795762137677,'x',x,91.07,26.63
1748795762199453,1748795762251618,'t',t,52.17,61.78
1748795762345435,1748795762422215,'y',y,76.78,93.82
1748795762470251,1748795762532143,'b',b,61.89,48.04
1748795762553417,1748795762639785,'z',z,86.37,21.27
1748795763194100,1748795763279334,'/',/,85.23,554.31
1748795759052743,1748795763584287,'j',j,4531.54,-4226.59
1748795763787908,1748795763854506,'y',y,66.6,203.62
1748795764057218,1748795764105996,'g',g,48.78,202.71
1748795764141977,1748795764205646,'h',h,63.67,35.98
1748795764294237,1748795764381571,'j',j,87.33,88.59
1748795764628298,1748795764703941,'c',c,75.64,246.73
1748795764795685,1748795764865448,'s',s,69.76,91.74
1748795764978357,1748795765040912,'g',g,62.55,112.91
1748795765134300,1748795765212606,'f',f,78.31,93.39
1748795765237332,1748795765295829,'k',k,58.5,24.73
1748795765354030,1748795765463998,'c',c,109.97,58.2
1748795765479112,1748795765560231,'z',z,81.12,15.11
1748795766569178,1748795766630300,'r',r,61.12,1008.95
1748795766715425,1748795766810717,'f',f,95.29,85.12
1748795766924993,1748795767017136,';',;,92.14,114.28
1748795767131920,1748795767206508,'l',l,74.59,114.78
1748795767659808,1748795767761320,'j',j,101.51,453.3
1748795767823176,1748795767888848,'t',t,65.67,61.86
1748795768067900,1748795768148587,'e',e,80.69,179.05
1748795768156196,1748795768225728,'n',n,69.53,7.61
1748795768307022,1748795768367398,'h',h,60.38,81.29
1748795768451096,1748795768560970,'j',j,109.87,83.7
1748795769405022,1748795769503413,'c',c,98.39,844.05
1748795769628082,1748795769688281,'v',v,60.2,124.67
1748795769765138,1748795769847579,'f',f,82.44,76.86
1748795770018368,1748795770091215,'c',c,72.85,170.79
1748795770171887,1748795770254767,'k',k,82.88,80.67
1748795770293060,1748795770379718,'z',z,86.66,38.29
