timestamp_press,timestamp_release,key_code,key_char,hold_time,latency
1748765457653187,1748765457771973,'и',и,118.79,0
1748765457955756,1748765458113065,'м',м,157.31,183.78
1748765457959262,1748765458119532,'а',а,160.27,-153.8
1748765458092893,1748765458200691,'п',п,107.8,-26.64
1748765458714588,1748765458809928,'о',о,95.34,513.9
1748765458699589,1748765458814238,'л',л,114.65,-110.34
1748765459026606,1748765459151526,'с',с,124.92,212.37
1748765459453915,1748765459520765,'п',п,66.85,302.39
1748765459410857,1748765459556551,'р',р,145.69,-109.91
1748765459026606,1748765470935138,'с',с,11908.53,-529.94
1748765475686382,1748765475814007,'\x03',,127.63,4751.24
1748765476433247,1748765476538627,'\x03',,105.38,619.24
1748765476698832,1748765476788833,'\x03',,90.0,160.21
1748765459026606,1748765477024564,'с',с,17997.96,-17762.23
1748765492011994,1748765492121263,'\x03',,109.27,14987.43
1748765492832798,1748765492936876,'\x03',,104.08,711.53
1748765493043232,1748765493107484,'\x03',,64.25,106.36
1748765459026606,1748765493325791,'с',с,34299.19,-34080.88
1748765547352676,1748765547420278,'б',б,67.6,54026.88
1748765547512259,1748765547603297,'л',л,91.04,91.98
1748765547634235,1748765547746867,'я',я,112.63,30.94
1748765549023518,1748765549070486,'п',п,46.97,1276.65
1748765549119677,1748765549208162,'о',о,88.48,49.19
1748765549273079,1748765549352222,'г',г,79.14,64.92
1748765549424239,1748765549501898,'о',о,77.66,72.02
1748765549621779,1748765549734663,'д',д,112.88,119.88
1748765549760196,1748765549842635,'и',и,82.44,25.53
1748765550076784,1748765550140728,'а',а,63.94,234.15
1748765550319849,1748765550402092,'к',к,82.24,179.12
1748765550489031,1748765550550477,'а',а,61.45,86.94
1748765550640519,1748765550734728,'к',к,94.21,90.04
1748765551305715,1748765551411615,'э',э,105.9,570.99
1748765551572883,1748765551649388,'т',т,76.5,161.27
1748765551714140,1748765551789488,'о',о,75.35,64.75
1748765552834079,1748765552919065,'т',т,84.99,1044.59
1748765553150689,1748765553226246,'к',к,75.56,231.62
1748765553332077,1748765553405783,'е',е,73.71,105.83
1748765553464003,1748765553581300,'й',й,117.3,58.22
1748765553712187,1748765553794214,'л',л,82.03,130.89
